name;TIPOLOGIA;OID_;PARK_ID;area;Centroid_X;Centroid_Y;Perimeter;id;long;lat
Jardim Garcia de Orta - Parque das Nações;;36;46;17525.9100000000;-9.0900000000;38.7700000000;1412.5600000000;Lx064;-9.0920145307;38.7711308203
Jardim Garcia de Orta - Parque das Nações;;36;46;17525.9100000000;-9.0900000000;38.7700000000;1412.5600000000;Lx064;-9.0919111868;38.7720789385
Jardim Garcia de Orta - Parque das Nações;;36;46;17525.9100000000;-9.0900000000;38.7700000000;1412.5600000000;Lx064;-9.0918453716;38.7729786487
Jardim Garcia de Orta - Parque das Nações;;36;46;17525.9100000000;-9.0900000000;38.7700000000;1412.5600000000;Lx064;-9.0917526023;38.7740130063
Parque Urbano dos Olivais;Espaços Verdes Urbanos;37;47;36990.7000000000;-9.1200000000;38.7700000000;1153.3000000000;Lx065;-9.1206274008;38.7698456364
Jardim Nuno Álvares / Jardim de Santos;;38;48;4246.6500000000;-9.1500000000;38.7100000000;263.8660000000;Lx066;-9.1546009049;38.7070362851
Parque Urbano do Tejo e Trancão;;39;49;677565.0699999990;-9.0900000000;38.7900000000;6938.8200000000;Lx067;-9.0929639825;38.7833713388
Parque Urbano do Tejo e Trancão;;39;49;677565.0699999990;-9.0900000000;38.7900000000;6938.8200000000;Lx067;-9.0939909033;38.7903370408
Parque Urbano do Tejo e Trancão;;39;49;677565.0699999990;-9.0900000000;38.7900000000;6938.8200000000;Lx067;-9.0977271551;38.7960763695
Parque Urbano do Tejo e Trancão;;39;49;677565.0699999990;-9.0900000000;38.7900000000;6938.8200000000;Lx067;-9.0953232002;38.7963670495
Jardim Praça de Malaca;;0;0;4997.8300000000;-9.2100000000;38.7000000000;282.3690000000;Lx012;-9.2097351465;38.6991058661
Jardim Henrique Lopes de Mendonça;;40;51;4697.0500000000;-9.1400000000;38.7300000000;335.8850000000;Lx068;-9.1440965811;38.7301840689
Praça Rainha Santa;;0;0;1502.5800000000;-9.1600000000;38.7700000000;157.1310000000;Lx013;-9.1619129737;38.7672101424
Praça de São Bento;;41;53;2682.9800000000;-9.1500000000;38.7100000000;250.2600000000;Lx069;-9.1537576991;38.7136338732
Jardim Avelar Brotero - Jardim do Alto de Santo Amaro;;42;54;4378.7000000000;-9.1800000000;38.7000000000;264.0050000000;Lx070;-9.1845657320;38.7042199669
Parque Bensaúde - Parque Urbano Quinta Bensaúde;Espaços Verdes Urbanos;43;55;38258.0400000000;-9.1800000000;38.7500000000;957.2490000000;Lx071;-9.1766719423;38.7530127143
Jardins da Água - Parque das Nações;;44;56;7180.7500000000;-9.0900000000;38.7600000000;607.2820000000;Lx072;-9.0937367754;38.7614844272
